nct_id,name,source
NCT04090567,PARP Inhibitor,"Patient should have previously treated with any PARP inhibitor and must have remained on treatment for >= 2 months prior to progression of disease"
NCT04134260,Radical Prostatectomy,"Detectable PSA after radical prostatectomy. Detectable PSA is defined as serum PSA > 0 ng/mL at least 30 days after prostatectomy"
NCT04174352,Prior Hormone Therapy,"Patients must have received at least 1 prior line of endocrine therapy in the metastatic setting or have had progression within 12 months of adjuvant endocrine therapy"
NCT04175431,Radical Prostatectomy,"Patient must previously have undergone radical prostatectomy"
NCT04189757,Ibrutinib,"Prior treatment with ibrutinib discontinued for reasons other than progression"
NCT04219254,Anti-PD-L1 Monoclonal Antibody,"Subjects must have received at least 2 doses of an approved anti- PD-1/L1 mAb"
NCT04270175,Daratumumab,"Has received daratumumab or Faspro in any prior line of therapy"
NCT04305834,Hormone Therapy,"Progressed on prior endocrine therapy"
NCT04332367,Pembrolizumab,"Progression after at least 12 weeks of maintenance pemetrexed/pembrolizumab, or pembrolizumab alone"
NCT04337580,Docetaxel,"Patients must have castrate refractory prostate cancer with prior docetaxel treatment which was used in the castrate refractory setting"
NCT04340882,PD-L1 Inhibitor,"Patients must have progressed on a platinum-based chemotherapy and any of the Food and Drug Administration (FDA)-approved PD-1 or PD-L1 immune checkpoint inhibitors, either given sequentially or in combination"
NCT04375384,PD1 Inhibitor,"Patients must have received previous treatment with immunotherapy with PD-1 inhibitor alone or in combination with chemotherapy"
NCT04407247,Immune Checkpoint Inhibitor,"Patients who receive any type of immune checkpoint inhibitor (ICI) therapy"
NCT04415944,Platinum Compound,"Patients must have undergone cytoreductive surgery and 3-8 cycles of platinum-based systemic chemotherapy prior to the second look surgery"
NCT04419519,Venetoclax,"Patients must have received venetoclax-based therapy for at least 6 months (including dose interruptions)"
NCT04423211,Radical Prostatectomy,"Patient must have had a radical prostatectomy (RP) as definitive therapy for histopathologically-proven prostatic adenocarcinoma"
NCT04434040,Antineoplastic Agent,"Patients must have received neoadjuvant chemotherapy prior to breast surgery"
NCT04434040,Breast Surgery,"Definitive breast surgery must have been performed and includes lumpectomy or mastectomy with pathologically clear margins (i.e. no ink on tumor)"
NCT04484012,BTK Inhibitor,"Participants must be currently receiving acalabrutinib and have been taking acalabrutinib for between 3 and 7 months prior to initiating screening procedures on the study"
NCT04508790,Immunotherapy,"Relapsed or refractory to at least 1 prior line of therapy, including both a proteasome inhibitor and an immunomodulatory drug"
NCT04527900,Hysterectomy,"Surgery must have included a hysterectomy"
NCT04548752,Platinum Compound,"Patients must have metastatic disease and received first line platinum-based chemotherapy"
NCT04567771,Robotic Hysterectomy,"Must have undergone an open or robotic hysterectomy (total abdominal, vaginal, radical, or total laparoscopic) for carcinoma of the cervix or endometrium"
NCT04579224,Enfortumab Vedotin,"Participant must have had prior systemic therapy in metastatic setting that:   
* Included enfortumab vedotin"
NCT04585958,Cytotoxic Chemotherapy,"Patients must have had at least one prior line of cytotoxic chemotherapy"
NCT04599140,Oxaliplatin,"Received at least two prior regimens of therapy for unresectable or metastatic CRC including fluoropyrimidine-, oxaliplatin-, and irinotecan-based regimens"
NCT04665947,Systemic Therapy,"Participant must have documented tumor progression during or following at least one prior systemic regimen as established by diagnostic imaging"
NCT04671667,Gross Total Resection,"Patient must have undergone surgery with gross total resection and must be randomized within 8 weeks of surgery"
NCT04691817,Immune Checkpoint Inhibitor,"Prior exposure and disease progression during at least 1 line of therapy including a checkpoint inhibitor. This may include a single checkpoint inhibitor, therapy with two checkpoint inhibitors simultaneously, or chemotherapy and immunotherapy combined or in sequence and must be the line immediately prior to enrollment on the trial"
NCT04713046,Platinum Compound,"PATIENT: Prior treatment with a platinum-containing regimen"
NCT04742634,Allogeneic Hematopoietic Stem Cell Transplantation,"Diagnosis of myelodysplastic syndromes (MDS) based on World Health Organization classification (2016 revision) who have received an allogeneic hematopoietic cell transplant"
NCT04768426,Definitive Surgical Resection,"Has had definitive surgical resection"
NCT04781192,PD-L1 Inhibitor,"Progressed on at least one line of therapy (no restrictions on type of previous treatment)"
NCT04852887,Lumpectomy,"The patient must have undergone a lumpectomy and the margins of the resected specimen or re-excision must be histologically free of invasive tumor and breast ductal carcinoma in situ (DCIS) with no ink on tumor as determined by the local pathologist"
NCT04858009,Systemic Chemotherapy,"Completion of preoperative systemic chemotherapy with biochemical, metabolic, and/or radiographic response defined as a reduction in the baseline CA 19-9 by > 50% or radiographic response as defined by Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 or metabolic response on positron emission tomography (PET)-magnetic resonance imaging (MRI) defined by PET Response Criteria in Solid Tumors (PERCIST) criteria"
NCT04858334,Resection,"Patient must have a diagnosis of pancreatic cancer and have successfully undergone a curative intent surgical resection"
NCT04868604,Antiandrogen Therapy,"Have progressive metastatic castration-resistant prostate cancer (mCRPC) despite prior androgen deprivation therapy"
NCT04876456,Cisplatin,"Must have progressed after first-line cisplatin based combination chemotherapy"
NCT04883242,Lenalidomide,"Must have received prior lenalidomide therapy"
NCT04895436,Venetoclax,"Previously completed venetoclax + anti-CD20 antibody +/- X regimen as a fixed duration first-line (1L) therapy and achieved documented response, defined as complete remission, complete remission with incomplete marrow recovery, partial remission, or nodular partial remission."
NCT04915508,Radical Prostatectomy,"History of histologically confirmed, clinical localized adenocarcinoma of the prostate treated with radical prostatectomy with definitive intent"
NCT04919369,Prior Chemotherapy,"Patients must have received standard of care chemotherapy and/or immunotherapy"
NCT04925479,Tyrosine Kinase Inhibitor,"Prior treatment with a minimum of one TKI"
NCT04960579,Immunomodulatory Imide Drug,"Must have relapsed / refractory MM, having received treatment with a proteasome inhibitor, immunomodulatory agent (IMiD), and anti-CD38 therapy."
NCT04963153,Platinum Compound,"Patients who had disease progression during or following treatment with at least one platinum-containing regimen (e.g., gemcitabine and cisplatin [GC], methotrexate, vinblastine, doxorubicin and cisplatin [MVAC], carboplatin and gemcitabine [Carbo-Gem]) and an immune checkpoint inhibitor (PD-1/ PD-L1 inhibitor including but not limited to: atezolizumab, pembrolizumab, durvalumab, avelumab, and nivolumab)"
NCT04966481,Antineoplastic Agent,"Disease progression on a PD-1/L1 inhibitor-containing regimen (given as monotherapy or in combination with other therapy)"
NCT04971499,Anti-PD1 Monoclonal Antibody,"Participants must have progressed on or after treatment with an anti-PD-1/PD-L1 mAb administered either as monotherapy or in combination with other checkpoint inhibitors or other therapies in their most recent line of therapy"
NCT04974671,Immune Checkpoint Inhibitor,"The most recent systemic therapy must be an ICI-containing regimen, delivered for at least 3 months prior to development of oligoprogressive lesions, with the last dose received within 3 months of trial enrollment."
NCT05002816,Proteasome Inhibitor,"Prior line of therapy must include immunomodulatory imide drug (iMID), proteasome inhibitor, and anti-CD38 monoclonal antibody"
