nct_id,display_order,candidate_criteria_text
NCT04332367,14,"International normalized ratio (INR) =< 1.5, and a partial thromboplastin time (PTT) =< 5 seconds above the ULN (unless receiving anticoagulation therapy). Patients receiving warfarin must be switched to low molecular weight heparin or edoxaban or show stability on another Food and Drug Administration (FDA) approved oral anticoagulant with stable coagulation profile prior to first dose of protocol therapy. There may be no active bleeding (that is, no bleeding within 14 days prior to first dose of protocol therapy) or pathological condition present that carries a high risk of bleeding (for example, tumor involving major vessels or known varices)"
NCT04332367,17,"If sexually active, must be postmenopausal, surgically sterile, or using effective contraception (hormonal or barrier methods)"
NCT04340882,15,Palliative radiotherapy (to bone or soft tissue lesions) must be completed > 1 week prior to start of study drug (exception: palliative radiotherapy for pain may be used any time prior to first dose)
NCT04340882,16,"Clinically significant toxic effect(s) of the most recent prior anti-cancer therapy must be grade 1 or resolved (except alopecia and sensory neuropathy); patients with grade 2 adrenal insufficiency related to prior anti-cancer therapy (defined as requiring medical intervention, such as concomitant steroids) or grade 2 hypothyroidism (defined as requiring hormone replacement therapy) may be enrolled provided that clinical symptoms are adequately controlled and the daily dose is 10 mg or less of prednisone or equivalent. If the patient received major surgery or radiation therapy of > 30 Gy, they must have recovered from the toxicity and/or complications from the intervention"
NCT04415944,14,Adequate contraception and negative pregnancy test if pregnancy possible
NCT04419519,10,"If receiving venetoclax in combination with anti-CD20 monoclonal antibody, patients must have completed or discontinued the anti-CD20 monoclonal antibody portion of the regimen prior to discontinuing therapy"
NCT04423211,5,"Patients must have no definite evidence for extrapelvic metastatic disease. This may be determined by CIM (CT abdomen/pelvis or MRI abdomen/pelvis AND bone scintigraphy or equivalent) within 26 weeks prior to step 0 registration. If patient does not have prior CIM, an existing study-eligible = PET using FDA-approved radiotracer may be used to determine whether patient requires CIM."
NCT04423211,9,"Patient must not have started short term ADT for biochemical recurrence prior to baseline PET (PET1), but may start short term ADT after PET and up to 7 days prior to study registration.
* NOTE:  A short course (e.g., ~ 4 weeks) of low-dose anti-androgen (e.g. bicalutamide), started given after PET1, either before or after study registration, is also permitted as a brief temporizing measure/bridge to protocol-approved SOC short term ADT"
NCT04434040,7,Concurrent receipt of bone modifying agents (bisphosphonates or rank-ligand inhibitors) is allowed
NCT04484012,5,"Documented CD19+ mantle cell lymphoma (MCL) by flow cytometry or immunohistochemistry (IHC) (from biopsy) if prior CD19 directed therapy was previously used
* BM is optional at enrollment IF patient already has biopsy proven disease"
NCT04493203,19,"Male subjects should agree to use an adequate method of contraception starting with the first dose of study therapy through 7 months after the last dose of study therapy
* Abstinence is acceptable if this is the usual lifestyle and preferred contraception for the subject"
NCT04493203,4,"Prior treatment with BRAF/MEK inhibitors permitted, however, not required."
NCT04548752,30,Participants with a prior or concurrent malignancy whose natural history or treatment (in the opinion of the treating physician) does not have the potential to interfere with the safety or efficacy assessment of the investigational regimen are eligible for this trial provided it does not require concurrent therapy
NCT04548752,35,"Patients must be offered the opportunity to participate in specimen banking of formalin-fixed paraffin-embedded (FFPE) tissue and whole blood. If a patient is unable to submit archival tissue, should the patient need to undergo a standard of care biopsy per National Comprehensive Cancer Network (NCCN) guidelines, patients must then be offered the opportunity to submit the fresh tumor tissue from that biopsy. With participant consent, specimens must be collected and submitted via the Southwest Oncology Group (SWOG) Specimen Tracking System"
NCT04548752,8,"Patients may have also received one cycle of treatment (no more than 4 weeks) with gemcitabine + nab-paclitaxel while waiting for germline test results, prior to platinum-based therapy"
NCT04567771,9,"Computed tomography (CT), magnetic resonance imaging (MRI), positron emission tomography (PET)/CT, or PET/MRI for staging before registration; may be pre-operative (op) or post-op"
NCT04585958,24,"Patients who are human immunodeficiency virus (HIV) positive may participate IF they meet the following eligibility requirements:
* They must be stable on their anti-retroviral regimen, and they must be healthy from an HIV perspective 
* They must have an undetectable viral load and a CD4 count >= 250 cells/uL within 7 days of enrollment
* They must not be currently receiving prophylactic therapy for an opportunistic infection and must not have had an opportunistic infection within the past 6 months
* HIV-infected patients should be monitored every 12 weeks for viral load and CD4 counts"
NCT04585958,25,"For patients with evidence of chronic hepatitis B virus (HBV) infection, the HBV viral load must be undetectable on suppressive therapy, if indicated"
NCT04713046,5,PATIENT: Patients with a Food and Drug Administration (FDA)-approved indication to receive an anti-programmed cell death protein-1 (PD-1) or anti-programmed death-ligand 1 (PD-L1) monoclonal antibody must have received at least one cycle of this therapy prior to receiving treatment on this trial
NCT04742634,2,"Any stem cell source, conditioning regimen, and immunosuppression regimen as determined by the treating physician, per institutional guidelines, is permitted. Patients may have received any therapy, or no therapy, prior to transplant."
NCT04742634,6,"Willing to comply with the treatment assignment:
* Intent to proceed with DEC-C therapy if one or more variants detected prior to transplant persists at Day 30 post-transplant with a variant allele frequency of >= 0.5%.
* Intent to proceed with standard of care as determined by the treating physician on the observation arm (no DEC-C intervention) if no variants detected prior to transplant persist at Day 30 post-transplant with a variant allele frequency of >= 0.5%."
NCT04768426,20,Patients must enroll within 8 weeks of completion of definitive surgery or adjuvant radiotherapy if indicated
NCT04768426,9,"Has completed adjuvant radiation if planned. Patients who received low dose capecitabine concurrent with radiation as a radiosensitizer are eligible
* Exception: Patients with confirmed Gilbert’s syndrome (persistent or recurrent hyperbilirubinemia that is predominantly unconjugated in the absence of hemolysis or hepatic pathology), who will be allowed only in consultation with their physician"
NCT04858334,5,"Patient must (1) be planning to receive, (2) be receiving or (3) have received at least three combined months (i.e., 12 weeks) of perioperative (neoadjuvant, adjuvant or a combination of both) systemic, multi-agent chemotherapy. Patients may have had up to 6 months of perioperative systemic therapy as deemed appropriate by their primary treating medical team (patients can have received radiation or chemoradiation in addition to this 6 month course)"
NCT04858334,6,"Patient must be no more than 12 weeks from their most recent treatment (this may be chemotherapy, radiotherapy or surgery)"
NCT04876456,7,Subjects with late relapse (> 2 years from previous chemotherapy) not amenable to resection are eligible if they have received first line platinum based chemotherapy and are deemed not amenable to surgical resection (no need for 1 salvage regimen in late relapse patients to be eligible)
NCT04883242,8,Prior autologous stem cell transplant is allowed; patients must be >= 6 months post- autologous stem cell transplantation to enroll
NCT04963153,19,"Patients with a history of prostate cancer (T2NXMX or lower with Gleason score =< 7) treated with definitive intent (surgically or with radiation therapy) at least 1 year prior to study entry are eligible, provided that the subject is considered prostate cancer-free and the following criteria are met: 
* Patients who have undergone radical prostatectomy must have undetectable prostate specific antigen (PSA) for > 1 year and at screening
* Patients who have had radiation must have a PSA doubling time > 1 year (based on at least 3 values determined >1 month apart) and a total PSA value that does not meet Phoenix criteria for biochemical recurrence (i.e., < 2.0 ng/mL above nadir)
* Patients with untreated low-risk prostate cancer (Gleason score =< 6) on active surveillance with PSA doubling time >1 year (based on at least 3 values determined > 1 month apart) are also eligible"
NCT04963153,5,"Patients must have measurable disease, as defined by Response Evaluation Criteria in Solid Tumors (RECIST) version (v)1.1. Previously irradiated lesions cannot be counted as target lesions unless there has been demonstrated progression in the lesion since radiotherapy and no other lesions are available for selection as target lesions"
NCT04971499,10,"Have available archival tumor tissue sample or newly obtained core or excisional biopsy of a tumor lesion. Formalin-fixed, paraffin embedded (FFPE) tissue blocks are preferred to slides.
* Newly obtained biopsies are preferred to archived tissue, but archived sample can be used at baseline provided that the patient has only had anti-PD-1/L1 based regimen since obtaining the sample.
* Biopsies may be taken from any amenable lesion, but it is preferable to use the same lesion throughout. 
* Biopsy may be taken from previously irradiated lesions only if they have progressed since radiation therapy.
* Patient may still be eligible for study if tumor is not amenable to safe biopsy or biopsy is judged by patient or treating physician to not be in their best interest."
NCT04971499,20,"Prior adverse events from anticancer therapy must be resolved to =< grade 1, with the exception of alopecia or endocrinopathies, which may be on replacement therapy. Prednisone equivalent of =< 10 mg is allowed."
NCT05002816,4,"Prior elotuzumab is allowed"
